DirectoryPath,Status,NumberOfSlices,MultipleStacks,Contrast,Orientation,NiftiSafe,Is4D,StackCount,TriggerType,DetailedParams,ValidationNote,ContrastBolusAgent,ContrastBolusRoute,ContrastBolusVolume,ContrastBolusTotalDose,ContrastBolusIngredient,ContrastBolusIngredientConcentration,ScanningSequence,SequenceVariant,ScanOptions,MRAcquisitionType,SequenceName,AngioFlag,SliceThickness,RepetitionTime,EchoTime,InversionTime,NumberOfAverages,ImagingFrequency,ImagedNucleus,EchoNumbers,MagneticFieldStrength,SpacingBetweenSlices,NumberOfPhaseEncodingSteps,EchoTrainLength,PixelBandwidth,ReconstructionDiameter,FlipAngle,VariableFlipAngleFlag,DiffusionBValue,ImageType,SOPClassUID,Modality,StudyDescription,SeriesDescription,SeriesNumber,AcquisitionNumber
/home/anastasiia/Downloads/Series_Classification/0028/803,ok,100,False,False,tra,True,False,1,None,NaN,Valid 3D Grid,NaN,NaN,NaN,NaN,NaN,NaN,GR,SS\SK,EDR_GEMS\IDEAL_GEMS\FILTERED_GEMS\ACC_GEMS\PFP,3D,NaN,N,5,5.916,4.168,0,0.703704,63.903928,1H,1,1.5,2.5,NaN,1,488.281,400,12,N,NaN,ORIGINAL_PRIMARY_OTHER,1.2.840.10008.5.1.4.1.1.4,MR,NaN,803,803,1
/home/anastasiia/Downloads/Series_Classification/0029/17,check_geometry,1,False,True,cor,False,False,1,None,NaN,NON_CUBICAL_IMAGE/GANTRY_TILT,Multihance,NaN,14,0,NaN,0,SE,SK\SP\OSP,PFP\FS,2D,NaN,N,59,4500,657,NaN,1,123.242449,1H,1,3,NaN,369,201,350,NaN,150,N,NaN,ORIGINAL_PRIMARY_M_DIS2D,1.2.840.10008.5.1.4.1.1.4,MR,NaN,17,17,1
/home/anastasiia/Downloads/Series_Classification/0028/804,ok,100,False,False,tra,True,False,1,None,NaN,Valid 3D Grid,NaN,NaN,NaN,NaN,NaN,NaN,GR,SS\SK,EDR_GEMS\IDEAL_GEMS\FILTERED_GEMS\ACC_GEMS\PFP,3D,NaN,N,5,5.916,2.084,0,0.703704,63.903928,1H,1,1.5,2.5,NaN,1,488.281,400,12,N,NaN,ORIGINAL_PRIMARY_OTHER,1.2.840.10008.5.1.4.1.1.4,MR,NaN,804,804,1
/home/anastasiia/Downloads/Series_Classification/0029/18,ok,36,False,True,tra,True,False,1,None,NaN,Valid 3D Grid,Multihance,NaN,14,0,NaN,0,EP,SK\SP,PFP\SFS,2D,NaN,N,6,5800,62,NaN,4,123.242457,1H,1,3,7.5,124,62,1630,NaN,90,N,NaN,DERIVED_PRIMARY_DIFFUSION_TRACEW_DIS2D,1.2.840.10008.5.1.4.1.1.4,MR,NaN,18,18,1
/home/anastasiia/Downloads/Series_Classification/0029/13,ok,72,False,True,tra,True,False,1,None,NaN,Valid 3D Grid,Multihance,NaN,14,0,NaN,0,GR,SP\OSP,PFP\FS,3D,NaN,N,4,3.73,1.72,NaN,1,123.242446,1H,1,3,NaN,153,1,475,NaN,12,N,NaN,ORIGINAL_PRIMARY_M_NORM_DIS2D,1.2.840.10008.5.1.4.1.1.4,MR,NaN,13,13,1
/home/anastasiia/Downloads/Series_Classification/0029/14,ok,72,False,True,tra,True,False,1,None,NaN,Valid 3D Grid,Multihance,NaN,14,0,NaN,0,GR,SP\OSP,PFP\FS,3D,NaN,N,4,3.73,1.72,NaN,1,123.242446,1H,1,3,NaN,153,1,475,NaN,12,N,NaN,ORIGINAL_PRIMARY_M_NORM_DIS2D,1.2.840.10008.5.1.4.1.1.4,MR,NaN,14,14,2
/home/anastasiia/Downloads/Series_Classification/0029/19,ok,36,False,True,tra,True,False,1,None,NaN,Valid 3D Grid,Multihance,NaN,14,0,NaN,0,EP,SK\SP,PFP\SFS,2D,NaN,N,6,5800,62,NaN,4,123.242457,1H,1,3,7.5,124,62,1630,NaN,90,N,NaN,DERIVED_PRIMARY_DIFFUSION_TRACEW_DIS2D,1.2.840.10008.5.1.4.1.1.4,MR,NaN,19,19,1
/home/anastasiia/Downloads/Series_Classification/0029/2,ok,26,False,False,cor,True,False,1,None,NaN,Valid 3D Grid,NaN,NaN,NaN,NaN,NaN,NaN,SE,SK\SP\OSP,PFP,2D,NaN,N,6,1000,87,NaN,1,123.242453,1H,1,3,7.98,158,81,700,NaN,173,N,NaN,ORIGINAL_PRIMARY_M_NORM_DIS2D,1.2.840.10008.5.1.4.1.1.4,MR,NaN,2,2,1
/home/anastasiia/Downloads/Series_Classification/0029/15,ok,72,False,True,tra,True,False,1,None,NaN,Valid 3D Grid,Multihance,NaN,14,0,NaN,0,GR,SP\OSP,PFP\FS,3D,NaN,N,4,3.73,1.72,NaN,1,123.242446,1H,1,3,NaN,153,1,475,NaN,12,N,NaN,ORIGINAL_PRIMARY_M_NORM_DIS2D,1.2.840.10008.5.1.4.1.1.4,MR,NaN,15,15,3
/home/anastasiia/Downloads/Series_Classification/0029/16,ok,72,False,True,tra,True,False,1,None,NaN,Valid 3D Grid,Multihance,NaN,14,0,NaN,0,GR,SP\OSP,PFP\FS,3D,NaN,N,4,4.11,1.9,NaN,1,123.242449,1H,1,3,NaN,145,1,400,NaN,12,N,NaN,ORIGINAL_PRIMARY_M_NORM_DIS2D,1.2.840.10008.5.1.4.1.1.4,MR,NaN,16,16,1
